Tarih;;;;;
;PM10 ( microg/m3 );CO ( microg/m3 );NO2 ( microg/m3 );NOX ( microg/m3 );NO ( microg/m3 )
2018-03-01;;573,36;62,40;110,64;31,53
2018-03-02;-;1.092,77;84,26;163,85;51,94
2018-03-03;40,78;634,73;64,23;105,01;26,61
2018-03-04;36,19;618,90;58,33;87,18;18,85
2018-03-05;32,26;629,00;67,92;132,59;42,11
2018-03-06;38,82;900,66;71,32;171,74;65,48
2018-03-07;82,11;498,09;56,18;88,43;21,28
2018-03-08;83,89;810,68;83,57;167,97;55,05
2018-03-09;40,15;677,50;66,90;125,33;38,10
2018-03-10;59,88;1.073,66;81,40;183,54;66,61
2018-03-11;53,91;1.133,26;88,06;194,55;69,42
2018-03-12;-;1.301,43;101,25;212,53;72,60
2018-03-13;54,72;923,06;79,85;145,16;42,61
2018-03-14;29,71;600,57;61,60;94,88;21,71
2018-03-15;27,45;602,10;66,62;109,04;27,62
2018-03-16;34,48;634,34;65,96;100,13;22,55
2018-03-17;41,79;484,86;48,41;63,06;9,12
2018-03-18;79,10;524,14;55,51;76,77;15,40
2018-03-19;24,19;598,22;46,76;109,38;40,77
2018-03-20;35,82;749,14;56,93;110,14;34,98
2018-03-21;45,40;989,87;77,61;171,06;59,90
2018-03-22;28,47;406,01;55,77;101,55;27,48
2018-03-23;65,85;439,97;54,28;89,77;25,63
2018-03-24;29,09;440,21;57,20;100,10;27,98
2018-03-25;28,75;490,51;62,31;116,01;35,07
2018-03-26;145,85;981,72;86,31;189,77;67,45
2018-03-27;161,78;916,86;76,21;168,30;60,05
2018-03-28;44,48;551,73;60,40;118,48;37,89
2018-03-29;56,09;563,03;48,48;78,09;19,34
2018-03-30;91,95;967,21;75,51;142,19;43,46
2018-03-31;91,98;1.093,40;94,43;180,70;56,29
2018-04-01;88,81;501,11;64,14;101,32;24,22
2018-04-02;32,33;474,46;72,97;100,84;34,82
2018-04-03;54,62;745,30;79,75;169,02;58,14
2018-04-04;82,60;1.168,84;103,17;236,29;86,80
2018-04-05;120,20;1.384,81;131,90;295,61;106,80
2018-04-06;143,71;1.281,92;92,52;265,17;112,64
2018-04-07;48,34;437,92;50,13;77,76;18,02
2018-04-08;60,37;514,82;55,92;85,93;19,59
2018-04-09;72,34;400,66;56,83;98,49;27,16
2018-04-10;93,84;588,75;85,46;172,86;56,97
2018-04-11;148,43;1.292,16;109,84;278,49;110,01
2018-04-12;156,33;1.406,60;88,76;270,29;118,42
2018-04-13;53,09;550,48;66,24;111,07;29,35
2018-04-14;34,90;464,13;53,91;81,06;17,67
2018-04-15;56,18;518,81;60,54;94,83;22,34
2018-04-16;48,76;533,37;66,59;109,54;26,94
2018-04-17;54,28;525,47;57,63;92,17;22,56
2018-04-18;48,96;483,47;54,49;83,77;19,04
2018-04-19;54,97;514,64;76,18;141,73;42,74
2018-04-20;63,77;624,36;78,36;144,26;42,99
2018-04-21;57,39;504,57;65,86;121,33;36,21
2018-04-22;99,42;971,67;84,57;204,81;78,42
2018-04-23;79,30;803,98;98,86;172,25;47,83
2018-04-24;102,71;940,06;105,16;211,92;69,54
2018-04-25;104,84;884,21;108,73;217,67;71,02
2018-04-26;93,54;804,18;102,94;202,93;65,07
2018-04-27;81,98;710,06;96,17;168,64;50,03
2018-04-28;50,27;549,17;59,09;92,26;21,55
2018-04-29;38,93;467,60;42,48;63,24;13,57
2018-04-30;47,30;454,34;53,90;83,94;19,40
2018-05-01;46,09;432,99;47,13;66,80;14,41
2018-05-02;56,07;512,22;62,97;107,92;29,34
2018-05-03;63,23;517,81;64,37;108,48;28,74
2018-05-04;49,46;433,77;59,42;100,59;26,86
2018-05-05;38,88;461,85;62,43;102,09;25,85
2018-05-06;44,24;652,81;60,08;122,27;40,36
2018-05-07;61,02;803,88;62,94;146,46;54,50
2018-05-08;-;-;-;-;-
